,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
92,"Hallo! Sebelumnya saya berterima kasih kepada google kelas karena dapat melancarkan sekolah daring di tengah pandemi seperti ini. Namun akhir akhir ini mengapa sering kali error, saya sangat kesusahan dalam mengirimkan tugas, sehingga sering sekali saya terlambat mengumpulkannya, padahal wifi maupun kuota saya full. Mohon perbaiki lagi agar tidak terjadi hal-hal seperti ini. Terima kasih. 🙏",5,POSITIVE,,,,,,,,92,"Hallo! Sebelumnya saya berterima kasih kepada google kelas karena dapat melancarkan sekolah daring di tengah pandemi seperti ini. Namun akhir akhir ini mengapa sering kali error, saya sangat kesusahan dalam mengirimkan tugas, sehingga sering sekali saya terlambat mengumpulkannya, padahal wifi maupun kuota saya full. Mohon perbaiki lagi agar tidak terjadi hal-hal seperti ini. Terima kasih. 🙏",5,POSITIVE
93,"Apk-nya bagus, cuma kenapa suka loading lama sih, bikin gregetan aja, saya itu mau kirim tugs cuma gak bisa-bisa mulu karena loading nya lama, udah paketan kenceng, WiFi kenceng, ehhhhh sama aja gak bisa, sampah emang. Tapi itu sih memang tergantung pada WIFI ataupun Internet yg kita pakai itu lemot atau tidak. Ya untuk apk ini lumayan bagus",4,POSITIVE,,,,,,,,93,"Apk-nya bagus, cuma kenapa suka loading lama sih, bikin gregetan aja, saya itu mau kirim tugs cuma gak bisa-bisa mulu karena loading nya lama, udah paketan kenceng, WiFi kenceng, ehhhhh sama aja gak bisa, sampah emang. Tapi itu sih memang tergantung pada WIFI ataupun Internet yg kita pakai itu lemot atau tidak. Ya untuk apk ini lumayan bagus",4,POSITIVE
94,bagus aja sih,5,POSITIVE,,,,,,,,94,bagus aja sih,5,POSITIVE
95,Aplikasi Gak Guna,1,NEGATIVE,,,,,,,,95,Aplikasi Gak Guna,1,NEGATIVE
96,Mantap bos ku,5,POSITIVE,,,,,,,,96,Mantap bos ku,5,POSITIVE
97,"Kenapa semenjak diupdate malah jadi kaya gini sih, mau ngirim file foto aja susah banget, nunggunya lama, jadinya saya sering terlambat mengumpulkan tugas, padahal ukuran file kecil, sinyal bagus, kuota banyak, kenapa gk bisa, mohon untuk diperbaiki",1,NEGATIVE,,,,,,,,97,"Kenapa semenjak diupdate malah jadi kaya gini sih, mau ngirim file foto aja susah banget, nunggunya lama, jadinya saya sering terlambat mengumpulkan tugas, padahal ukuran file kecil, sinyal bagus, kuota banyak, kenapa gk bisa, mohon untuk diperbaiki",1,NEGATIVE
98,meresahkan,1,NEGATIVE,,,,,,,,98,meresahkan,1,NEGATIVE
99,"Sehabis di Update malah makin buruk, aplikasi nggak bisa dibuka sama sekali, loading terus berjam jam, Aplikasi dan kinerja developer sangat buruk . Dan sering terjadi bug baik saat mengirim tugas maupun mengisi absen, kolom komentar dan tombol kirim bertindihan.",1,NEGATIVE,,,,,,,,99,"Sehabis di Update malah makin buruk, aplikasi nggak bisa dibuka sama sekali, loading terus berjam jam, Aplikasi dan kinerja developer sangat buruk . Dan sering terjadi bug baik saat mengirim tugas maupun mengisi absen, kolom komentar dan tombol kirim bertindihan.",1,NEGATIVE
100,BAGUS PALA LU PEYANG?! TUGAS GW JDI NUMPUK SU😫,1,NEGATIVE,,,,,,,,100,BAGUS PALA LU PEYANG?! TUGAS GW JDI NUMPUK SU😫,1,NEGATIVE
101,Apk gak guna,1,NEGATIVE,,,,,,,,101,Apk gak guna,1,NEGATIVE
102,Sangat berguna,5,POSITIVE,,,,,,,,102,Sangat berguna,5,POSITIVE
103,Wih mengerikan 😰,1,NEGATIVE,,,,,,,,103,Wih mengerikan 😰,1,NEGATIVE
104,Sangat berguna👍👍👍,5,POSITIVE,,,,,,,,104,Sangat berguna👍👍👍,5,POSITIVE
105,Sangat berguna,5,POSITIVE,,,,,,,,105,Sangat berguna,5,POSITIVE
106,Sial aku bosan Belajar onlen,1,NEGATIVE,,,,,,,,106,Sial aku bosan Belajar onlen,1,NEGATIVE
107,Buruk banget makin lama masa akun google masih bisa masa ga bisa ngirim pekerjaan malah error' terus lagi hadeh di benerin lagi dong jangan kebanyakan update kalau masih bellum bener tolong di benerkan lagi pihak Google,1,NEGATIVE,,,,,,,,107,Buruk banget makin lama masa akun google masih bisa masa ga bisa ngirim pekerjaan malah error' terus lagi hadeh di benerin lagi dong jangan kebanyakan update kalau masih bellum bener tolong di benerkan lagi pihak Google,1,NEGATIVE
108,Nge bug tiap pagi,5,POSITIVE,,,,,,,,108,Nge bug tiap pagi,5,POSITIVE
109,"gampang telat, selalu ada tulisan tidak dapat melampirkan drif, kamera selalu blur padahal sudah pas tapi aku kasih bintang 1 seharusnya klau bisa bintang 0 aja😒😒😠😡😬 pokok nya jelek banget nyesel deh😠😬😬",1,NEGATIVE,,,,,,,,109,"gampang telat, selalu ada tulisan tidak dapat melampirkan drif, kamera selalu blur padahal sudah pas tapi aku kasih bintang 1 seharusnya klau bisa bintang 0 aja😒😒😠😡😬 pokok nya jelek banget nyesel deh😠😬😬",1,NEGATIVE
110,Gak bisa di buka,1,NEGATIVE,,,,,,,,110,Gak bisa di buka,1,NEGATIVE
111,Bikin beban aja,1,NEGATIVE,,,,,,,,111,Bikin beban aja,1,NEGATIVE
112,sangat membantu,5,POSITIVE,,,,,,,,112,sangat membantu,5,POSITIVE
113,"Kenapa saat mengirim tugas tidak bisa ya??? Gara-gara itu Saya belum mendapatkan nilai tugas biologi Saya, Karena nilai ini menyangkut kelulusan kelas 3 SMA. Jika tetap tidak bisa mengirim tugas bisa gawat Saya. UNTUK DEVELOPER TOLONG DIBACA YA DAN DIPERBAIKI SEGERA !!!",2,NEGATIVE,,,,,,,,113,"Kenapa saat mengirim tugas tidak bisa ya??? Gara-gara itu Saya belum mendapatkan nilai tugas biologi Saya, Karena nilai ini menyangkut kelulusan kelas 3 SMA. Jika tetap tidak bisa mengirim tugas bisa gawat Saya. UNTUK DEVELOPER TOLONG DIBACA YA DAN DIPERBAIKI SEGERA !!!",2,NEGATIVE
114,"Halo, saya mohon apk ny di perbaiki lagi di karenakan pada saat saya mau mengirim tugas, itu lambat banget upload ny apalagi untuk tugas video. Untuk notifikasi google classroom ini juga sangat lambat, kadang pas sudah selesai tenggat absen ny baru ad notifikasi nya dan juga kadang klo saya ngirim banyak foto tugas tombol untuk mengirim ny nge bug gt jdi agak susah untuk mengirim tugas. Tolong di perhatikan lagi 🙏🏻",1,NEGATIVE,,,,,,,,114,"Halo, saya mohon apk ny di perbaiki lagi di karenakan pada saat saya mau mengirim tugas, itu lambat banget upload ny apalagi untuk tugas video. Untuk notifikasi google classroom ini juga sangat lambat, kadang pas sudah selesai tenggat absen ny baru ad notifikasi nya dan juga kadang klo saya ngirim banyak foto tugas tombol untuk mengirim ny nge bug gt jdi agak susah untuk mengirim tugas. Tolong di perhatikan lagi 🙏🏻",1,NEGATIVE
115,"Ninggalin jejak aja dulu, udah pake dari awal masuk kelas 10 ingat sekali tanggal 20 juli 2020, sampai sekarang aplikasi ini satu satunya aplikasi edukasi yg dipakai sekolah saya. Selama setahun make aplikasi ini tuh enak enak aja. UX nya simple, UI nya gak bikin bosen. Cuma makin kesini kok upload file kecil aja lama banget, atau karena aplikasinya sudah terlalu berat maka butuh di reset datanya atau ada alasan lain?.",5,POSITIVE,,,,,,,,115,"Ninggalin jejak aja dulu, udah pake dari awal masuk kelas 10 ingat sekali tanggal 20 juli 2020, sampai sekarang aplikasi ini satu satunya aplikasi edukasi yg dipakai sekolah saya. Selama setahun make aplikasi ini tuh enak enak aja. UX nya simple, UI nya gak bikin bosen. Cuma makin kesini kok upload file kecil aja lama banget, atau karena aplikasinya sudah terlalu berat maka butuh di reset datanya atau ada alasan lain?.",5,POSITIVE
116,Lemot banget puuuuuollllllll,1,NEGATIVE,,,,,,,,116,Lemot banget puuuuuollllllll,1,NEGATIVE
117,Apliaksi nya rusak,1,NEGATIVE,,,,,,,,117,Apliaksi nya rusak,1,NEGATIVE
118,"kalo ada notif tugas pasti yg tugas pengen deadline trus pas upload file / gambar, vidio lama bgt padahl udh pake kuota udh pake wifi tetep aja lama",1,NEGATIVE,,,,,,,,118,"kalo ada notif tugas pasti yg tugas pengen deadline trus pas upload file / gambar, vidio lama bgt padahl udh pake kuota udh pake wifi tetep aja lama",1,NEGATIVE
119,"Loading untuk membuka tugas siswa sangat lama, bahkan sering error, pdhl pake wifi. Berikan fitur untuk bs download semua tugas siswa sekaligus tanpa perlu membuka 1per1 (Krn loading yg terlalu lama). 1tugas min 1mnt. Kl ada 200 siswa, brp lama untuk proses loading sj...",2,NEGATIVE,,,,,,,,119,"Loading untuk membuka tugas siswa sangat lama, bahkan sering error, pdhl pake wifi. Berikan fitur untuk bs download semua tugas siswa sekaligus tanpa perlu membuka 1per1 (Krn loading yg terlalu lama). 1tugas min 1mnt. Kl ada 200 siswa, brp lama untuk proses loading sj...",2,NEGATIVE
120,Apk kurang ajar,1,NEGATIVE,,,,,,,,120,Apk kurang ajar,1,NEGATIVE
121,"Maaf sebelumnya aku kasih bintang satu,ini kenapa gabisa di perbarui ya padahal yang lain bisa,kira""yang ang salah apnya ya🙏",1,NEGATIVE,,,,,,,,121,"Maaf sebelumnya aku kasih bintang satu,ini kenapa gabisa di perbarui ya padahal yang lain bisa,kira""yang ang salah apnya ya🙏",1,NEGATIVE
122,"Aplikasinya lemot pas ngirim Vidio padahal koneksi udah bagus, oh ya over all notif yg masuk gk kayak ke banyakan pengguna cuma sering ada tugas Vidio aja gitu kalo misal ada yg nyuruh tugas Vidio tolong ya google kelas room jangan di bolehin memo saya anjelok ini",5,POSITIVE,,,,,,,,122,"Aplikasinya lemot pas ngirim Vidio padahal koneksi udah bagus, oh ya over all notif yg masuk gk kayak ke banyakan pengguna cuma sering ada tugas Vidio aja gitu kalo misal ada yg nyuruh tugas Vidio tolong ya google kelas room jangan di bolehin memo saya anjelok ini",5,POSITIVE
123,Tolong perbaiki knapa harus ad tugaas,1,NEGATIVE,,,,,,,,123,Tolong perbaiki knapa harus ad tugaas,1,NEGATIVE
124,Banyak update anj lo hp gw kentang memekk,1,NEGATIVE,,,,,,,,124,Banyak update anj lo hp gw kentang memekk,1,NEGATIVE
125,Tambahin tema gelap dong,5,POSITIVE,,,,,,,,125,Tambahin tema gelap dong,5,POSITIVE
126,Seru main ini,5,POSITIVE,,,,,,,,126,Seru main ini,5,POSITIVE
127,"Haii , banyak orang yang ngasi bintang 1 regara banyak tugas. Hey coba pikir sekali lagi, kalo kalian stress gara"" tugas ya salahkan guru kalian lah, jangan apknya. Sampe segitunya kalian kasi rating bintang 1, tolong hargai usaha pembuat apk ini. Jujur, aku kesel banget liat komentar"" yang begituan",5,POSITIVE,,,,,,,,127,"Haii , banyak orang yang ngasi bintang 1 regara banyak tugas. Hey coba pikir sekali lagi, kalo kalian stress gara"" tugas ya salahkan guru kalian lah, jangan apknya. Sampe segitunya kalian kasi rating bintang 1, tolong hargai usaha pembuat apk ini. Jujur, aku kesel banget liat komentar"" yang begituan",5,POSITIVE
128,Ini bagus tapi saya kasih bintang 4 aja karna kl udah selesai mengerjakan tugas ya tapi masih harus di kerjakan setiap hari mohon di berbaiki terimakasih🙏🏻,4,POSITIVE,,,,,,,,128,Ini bagus tapi saya kasih bintang 4 aja karna kl udah selesai mengerjakan tugas ya tapi masih harus di kerjakan setiap hari mohon di berbaiki terimakasih🙏🏻,4,POSITIVE
129,"Tolong lah notifikasi itu diperbaiki, sungguh merepotkan dan menyusahkan, tugas dan materi terlewatkan jadinya😭😭, saya pelajar yang capek harus bagaimana dengan classroom ini, apalagi aplikasi ini sering ""down""😤😡",1,NEGATIVE,,,,,,,,129,"Tolong lah notifikasi itu diperbaiki, sungguh merepotkan dan menyusahkan, tugas dan materi terlewatkan jadinya😭😭, saya pelajar yang capek harus bagaimana dengan classroom ini, apalagi aplikasi ini sering ""down""😤😡",1,NEGATIVE
130,"Mohon maaf sebelumnya, pada saat update sebelumnya pada aplikasi ini normal normal saja dan tidak ada masalah error sama sekali, yang membedakannya adalah saat saya membuka video melalui google drive, itu kenapa tdk bisa daripada minggu sebelumnya? Mohon harap diperbaiki lagi, terimakasih!!!",1,NEGATIVE,,,,,,,,130,"Mohon maaf sebelumnya, pada saat update sebelumnya pada aplikasi ini normal normal saja dan tidak ada masalah error sama sekali, yang membedakannya adalah saat saya membuka video melalui google drive, itu kenapa tdk bisa daripada minggu sebelumnya? Mohon harap diperbaiki lagi, terimakasih!!!",1,NEGATIVE
131,"Singkat cerita tadi ada notifikasi telah dinilai tugasnya. Lalu saya keluar dari apk, dan tiba-tiba bbrp notifikasi masuk..itu membuat saya kaget! Saya click notif tsbt dan ternyata berisi tugas, materi, dan penilaian yang sudah sedikit lama. Ini menjengkelkan! Membuat degup jantung saya semacam diskotik saja jadinya-",4,POSITIVE,,,,,,,,131,"Singkat cerita tadi ada notifikasi telah dinilai tugasnya. Lalu saya keluar dari apk, dan tiba-tiba bbrp notifikasi masuk..itu membuat saya kaget! Saya click notif tsbt dan ternyata berisi tugas, materi, dan penilaian yang sudah sedikit lama. Ini menjengkelkan! Membuat degup jantung saya semacam diskotik saja jadinya-",4,POSITIVE
132,Beri keringanan,5,POSITIVE,,,,,,,,132,Beri keringanan,5,POSITIVE
133,Apk Kon bikin stres babi,1,NEGATIVE,,,,,,,,133,Apk Kon bikin stres babi,1,NEGATIVE
134,Terimakasih google classroom sangat membantu!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kenapa masih lihat di bawah kan udah di bilang sangat membantu,5,POSITIVE,,,,,,,,134,Terimakasih google classroom sangat membantu!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kenapa masih lihat di bawah kan udah di bilang sangat membantu,5,POSITIVE
135,"gws iya yang Komentar ""aplikasi jelek banget!!!!!"" anda bocah pansos komentar youTube sok sok an nanti nangis belajar dulu classroom gak pada punya otak komen itu semua pansos ""aplikasi jelek banget!!!"" dari 2020-2021 gak kapok tod coba aja nanti developer ngamuk gak bisa komen eluh pada ""classroom ini aplikasi lumayan tolong di perbaiki internet dan pengiriman tugas agar tidak banyak protes"", Hopefully it's useful, the developer, read my comment, thank you.",5,POSITIVE,,,,,,,,135,"gws iya yang Komentar ""aplikasi jelek banget!!!!!"" anda bocah pansos komentar youTube sok sok an nanti nangis belajar dulu classroom gak pada punya otak komen itu semua pansos ""aplikasi jelek banget!!!"" dari 2020-2021 gak kapok tod coba aja nanti developer ngamuk gak bisa komen eluh pada ""classroom ini aplikasi lumayan tolong di perbaiki internet dan pengiriman tugas agar tidak banyak protes"", Hopefully it's useful, the developer, read my comment, thank you.",5,POSITIVE
136,"Per ah visa Dan lancar , go skeg bermasalah",5,POSITIVE,,,,,,,,136,"Per ah visa Dan lancar , go skeg bermasalah",5,POSITIVE
137,Kok kaya ada yg salah y . Tadi jaringan saya bagus. setelah saya download aplikasi ini kok tiba tiba jaringan saya lelet y . Terus saya matikan hp saya . Saya hidup kan lagi jaringan saya porji tapi kok lelet y . mohon update lagi aplikasinya . Saya kasih tambahan bintang,1,NEGATIVE,,,,,,,,137,Kok kaya ada yg salah y . Tadi jaringan saya bagus. setelah saya download aplikasi ini kok tiba tiba jaringan saya lelet y . Terus saya matikan hp saya . Saya hidup kan lagi jaringan saya porji tapi kok lelet y . mohon update lagi aplikasinya . Saya kasih tambahan bintang,1,NEGATIVE
138,"Tugs nya kasih limit woy, tugas gua gak ngotak ngasihnya",1,NEGATIVE,,,,,,,,138,"Tugs nya kasih limit woy, tugas gua gak ngotak ngasihnya",1,NEGATIVE
139,"Sudah bagus, dan saya juga suka tampilan nya. Tapi saya punya keluhan, setiap saya upload vidio dia cuman muter-muter doang nggk selesai² padahal jaringan nya bagus. Jadi untuk update berikutnya tolong diperbaiki ya, semoga keluhan saya ini direspon pihak developer classroom. Terimakasih itu saja!",4,POSITIVE,,,,,,,,139,"Sudah bagus, dan saya juga suka tampilan nya. Tapi saya punya keluhan, setiap saya upload vidio dia cuman muter-muter doang nggk selesai² padahal jaringan nya bagus. Jadi untuk update berikutnya tolong diperbaiki ya, semoga keluhan saya ini direspon pihak developer classroom. Terimakasih itu saja!",4,POSITIVE
140,Hilangkan notif tugas dari gcr,1,NEGATIVE,,,,,,,,140,Hilangkan notif tugas dari gcr,1,NEGATIVE
141,"Tolong opsi ""terlambat di serahkan"" di hapus, karna sangat kecewa ketika telat 1 detik aja menyerahkan tugas opsi itu muncul, karna tidak ada keterangan seberapa telat menyerahkan tugasnya. Apalagi kalau jaringan kurang bagus dan tugas yg di upload berukuran besar jadi memakan waktu lama. Dan ketika upload tugas tolong di kasih detail berapa % data yg sudah ter upload jangan hanya layar yg berubah jadi agak abu abu(buram). Terima kasih",1,NEGATIVE,,,,,,,,141,"Tolong opsi ""terlambat di serahkan"" di hapus, karna sangat kecewa ketika telat 1 detik aja menyerahkan tugas opsi itu muncul, karna tidak ada keterangan seberapa telat menyerahkan tugasnya. Apalagi kalau jaringan kurang bagus dan tugas yg di upload berukuran besar jadi memakan waktu lama. Dan ketika upload tugas tolong di kasih detail berapa % data yg sudah ter upload jangan hanya layar yg berubah jadi agak abu abu(buram). Terima kasih",1,NEGATIVE
142,Ini apk nya gk jelas udah dikir tugas nya tpi malah jawabannya tugas tidak dikirim tolong lah diperbaiki dengan baik percuma diaupdte tpi malah tambah gk jelas..,2,NEGATIVE,,,,,,,,142,Ini apk nya gk jelas udah dikir tugas nya tpi malah jawabannya tugas tidak dikirim tolong lah diperbaiki dengan baik percuma diaupdte tpi malah tambah gk jelas..,2,NEGATIVE
143,"hallo, ini bagaimana ya setiap saya mau mengumpulkan tugas upload lama banget, padahal jaringan saya baik baik saja, dan abis itu saya upload memakai hotspot masa kena nya banyak banget, padahal ukuran MB nya cuman 10. Mohon diupdate untuk lebih baik lagi, Jika sudah bagus saya akan menambahkan bintang nya, Terima Kasih.",1,NEGATIVE,,,,,,,,143,"hallo, ini bagaimana ya setiap saya mau mengumpulkan tugas upload lama banget, padahal jaringan saya baik baik saja, dan abis itu saya upload memakai hotspot masa kena nya banyak banget, padahal ukuran MB nya cuman 10. Mohon diupdate untuk lebih baik lagi, Jika sudah bagus saya akan menambahkan bintang nya, Terima Kasih.",1,NEGATIVE
144,"Semuanya sih bagus bagus aja, tapi tolong pas dibagian notifikasi diperbaiki lagi! Kadang saya nerima notifikasi dari guru kadang juga engga dapat, setelah saya cek ternyata ada tugas baru.Mungkin dari segi itu bisa diperbaiki lagi, biar mudah juga untuk ngecek hari ini diberikan tugas apa aja lewat notifikasi dalam Gc!.",4,POSITIVE,,,,,,,,144,"Semuanya sih bagus bagus aja, tapi tolong pas dibagian notifikasi diperbaiki lagi! Kadang saya nerima notifikasi dari guru kadang juga engga dapat, setelah saya cek ternyata ada tugas baru.Mungkin dari segi itu bisa diperbaiki lagi, biar mudah juga untuk ngecek hari ini diberikan tugas apa aja lewat notifikasi dalam Gc!.",4,POSITIVE
145,"Apk nya bagus,tapi masih sering ngebug tiba"" ada notif tugas dari guru jam 1 malam.Tolong developer segera diperbaiki bug ini🙏👍.",2,NEGATIVE,,,,,,,,145,"Apk nya bagus,tapi masih sering ngebug tiba"" ada notif tugas dari guru jam 1 malam.Tolong developer segera diperbaiki bug ini🙏👍.",2,NEGATIVE
146,"Google minta tolong perbaiki bug di aplikasi classroom dunk, setiap mau membuka lampiran tugas selalu tidak bisa, disuruh menginstall aplikasi dulu utk membuka pdhl udah diinstal..please google",4,POSITIVE,,,,,,,,146,"Google minta tolong perbaiki bug di aplikasi classroom dunk, setiap mau membuka lampiran tugas selalu tidak bisa, disuruh menginstall aplikasi dulu utk membuka pdhl udah diinstal..please google",4,POSITIVE
147,MASA NGIRIM VIDEO GAK BISAA...:(,4,POSITIVE,,,,,,,,147,MASA NGIRIM VIDEO GAK BISAA...:(,4,POSITIVE
148,Asw upload foto Ama video aja lamanya semalam asw,1,NEGATIVE,,,,,,,,148,Asw upload foto Ama video aja lamanya semalam asw,1,NEGATIVE
149,"Aplikasi nya sangat bagus banget, Tiap kali dengar notif dari GC saya sangat senang jujur,..!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIVE,,,,,,,,149,"Aplikasi nya sangat bagus banget, Tiap kali dengar notif dari GC saya sangat senang jujur,..!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",5,POSITIVE
150,"Bagus kok apk nya,bisa buat belajar dan ngerjain tugas jdi lebih mudah,dan terjamin kualitas dri apk ini,mantap lah",1,NEGATIVE,,,,,,,,150,"Bagus kok apk nya,bisa buat belajar dan ngerjain tugas jdi lebih mudah,dan terjamin kualitas dri apk ini,mantap lah",1,NEGATIVE
151,"Agak baik. Tapi ini kenapa punya ku kok gak bisa loging terus, gak bisa ku perbarui tapi kok gak mau kenapa. Tolong",1,NEGATIVE,,,,,,,,151,"Agak baik. Tapi ini kenapa punya ku kok gak bisa loging terus, gak bisa ku perbarui tapi kok gak mau kenapa. Tolong",1,NEGATIVE
152,"Banyak bug,saat saya baru bangun tidur, notif di hp saya tugas mulu,tolong fix bug ini, agar tidak terjadi lagi🙏",1,NEGATIVE,,,,,,,,152,"Banyak bug,saat saya baru bangun tidur, notif di hp saya tugas mulu,tolong fix bug ini, agar tidak terjadi lagi🙏",1,NEGATIVE
153,Aplikasi ini membuat saya teraniaya mohon diperbaiki bug apk ini jangan perbanyak motif dari guru tolong satu apk satu grup biar semua murid di dunia aman dari tugas guru jahannam,1,NEGATIVE,,,,,,,,153,Aplikasi ini membuat saya teraniaya mohon diperbaiki bug apk ini jangan perbanyak motif dari guru tolong satu apk satu grup biar semua murid di dunia aman dari tugas guru jahannam,1,NEGATIVE
154,"MAU KIRIM TUGAS VIDEO, LOADING NYA LAMA BNGTTTTT, UDAH NUNGGU LAMA BNGT TETEP AJA KGA KE APLOUD, SOLUSINYA DONG, KLO BISA BENERIN LAGI, SAYA MAU APLOUD VIDEO JADI TERTUNDA KAN JADINYAAAA!!!!!!!!!!!!!!!!!!!!!!!!!!!!! APLIKASI DAJJAL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1,NEGATIVE,,,,,,,,154,"MAU KIRIM TUGAS VIDEO, LOADING NYA LAMA BNGTTTTT, UDAH NUNGGU LAMA BNGT TETEP AJA KGA KE APLOUD, SOLUSINYA DONG, KLO BISA BENERIN LAGI, SAYA MAU APLOUD VIDEO JADI TERTUNDA KAN JADINYAAAA!!!!!!!!!!!!!!!!!!!!!!!!!!!!! APLIKASI DAJJAL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1,NEGATIVE
155,App menyiksa murid 🗿,1,NEGATIVE,,,,,,,,155,App menyiksa murid 🗿,1,NEGATIVE
156,SAYA MALAS BELAJAR,1,NEGATIVE,,,,,,,,156,SAYA MALAS BELAJAR,1,NEGATIVE
157,"Ini kenapa tdk bisa mengirim tugas melalui upload file, masa iya harus buka google classroom web untuk mengirimkan tugas yng sudah selesai. Trs fungsinya ada aplikasi ni apa? Buat liat tugas yang makin lama makin banyak doang? Please perbaiki masalah ini",2,NEGATIVE,,,,,,,,157,"Ini kenapa tdk bisa mengirim tugas melalui upload file, masa iya harus buka google classroom web untuk mengirimkan tugas yng sudah selesai. Trs fungsinya ada aplikasi ni apa? Buat liat tugas yang makin lama makin banyak doang? Please perbaiki masalah ini",2,NEGATIVE
